"145552","259290","53696083","52629920",5 BAMBRA ROAD AIREYS INLET 3231,,"5",,BAMBRA,ROAD,,AIREYS INLET,"365","3231","20563180000",House,GPO,1,770565.41669869,5738252.33297886
"109487","206007","53723830","52642534",310 SOUTH DREEITE ROAD ALVIE 3249,,"310",,SOUTH DREEITE,ROAD,,ALVIE,"314","3249","20134620000",House,GPO,1,717266.864255835,5767561.38918086
"275264","661488","53043625","41094598",655 DE MOTTS ROAD ANAKIE 3212,,"655",,DE MOTTS,ROAD,,ANAKIE,"324","3212","20202991000",House,GPO,1,781813.668849203,5801346.16234891
"121268","1483087","53046304","41103411",1140 GUM FLATS ROAD ANGLESEA 3230,,"1140",,GUM FLATS,ROAD,,ANGLESEA,"365","3230","20563571000",House,GPO,1,776390.708397181,5751212.41822056
"31144","201262","53487605","45515625",35 OLD HORDERN VALE ROAD APOLLO BAY 3233,,"35",,OLD HORDERN VALE,ROAD,,APOLLO BAY,"314","3233","20136051000",House,GPO,1,726742.159865861,5706022.32028158
"617005","702114","53100273","41037355",1001-1039 BARWON HEADS ROAD ARMSTRONG CREEK 3217,,"1001",,BARWON HEADS,ROAD,,ARMSTRONG CREEK,"327","3217","20256642000",House,GPO,1,796411.443871879,5761105.06269945
"281379","110317","53027478","41051154",55 COONAWARRA DRIVE AVALON 3212,,"55",,COONAWARRA,DRIVE,,AVALON,"327","3212","20264250000",House,GPO,1,800488.337953249,5784620.59195058
"110023","201129","53486126","5177831",120 DELANEYS ROAD BALINTORE 3249,,"120",,DELANEYS,ROAD,,BALINTORE,"314","3249","20134730000",House,GPO,1,723283.152030754,5757231.89583716
"122649","259196","53724204","52642911",1400 WINCHELSEA-DEANS MARSH ROAD BAMBRA 3241,,"1400",,WINCHELSEA-DEANS MARSH,ROAD,,BAMBRA,"365","3241","20563440000",House,GPO,1,757766.839799939,5750156.13167173
"209026","1204","53041490","41091672",141 BAMGANIE ROAD BAMGANIE 3333,,"141",,BAMGANIE,ROAD,,BAMGANIE,"324","3333","20202970000",House,GPO,1,762621.999654242,5799443.00041435
"129058","665","215281189","215281186",74 MOREILLON BOULEVARDE BANNOCKBURN 3331,,"74",,MOREILLON,BOULEVARDE,,BANNOCKBURN,"324","3331","20203302000",House,GPO,1,777312.999735207,5784382.00017168
"111801","208730","53485133","5175866",90 WARES ROAD BARONGAROOK 3249,,"90",,WARES,ROAD,,BARONGAROOK,"314","3249","20134420000",House,GPO,1,727816.870431273,5740059.87000163
"111735","456","209486979","209486978",70 NIGHTINGALES ROAD BARONGAROOK WEST 3249,,"70",,NIGHTINGALES,ROAD,,BARONGAROOK WEST,"314","3249","20134150000",House,GPO,1,724686.900076094,5740109.55974193
"130653","263712","53064715","41098598",1220 BARRABOOL ROAD BARRABOOL 3221,,"1220",,BARRABOOL,ROAD,,BARRABOOL,"365","3221","20560220000",House,GPO,1,780635.317296181,5770363.65690602
"104614","513","53010439","41118032",1110 FORREST-APOLLO BAY ROAD BARRAMUNGA 3249,,"1110",,FORREST-APOLLO BAY,ROAD,,BARRAMUNGA,"314","3249","20135492000",House,GPO,1,735565.734018125,5723513.55730915
"165613","2820821","53001219","52484748",783 CRESSY-SHELFORD ROAD BARUNAH PARK 3329,,"783",,CRESSY-SHELFORD,ROAD,,BARUNAH PARK,"324","3329","20203701000",House,GPO,1,742275.514689846,5788289.20121746
"126784","1875332","53794942","45192259",5060 HAMILTON HIGHWAY BARUNAH PLAINS 3329,,"5060",,HAMILTON,HIGHWAY,,BARUNAH PLAINS,"314","3329","20134560000",House,GPO,1,744893.162432744,5782417.30010192
"120007","630","53483767","41110779",255 CALLAHANS ROAD BARWON DOWNS 3243,,"255",,CALLAHANS,ROAD,,BARWON DOWNS,"314","3243","20133660000",House,GPO,1,740523.772276663,5742121.56992258
"708460","103653","206548606","206548605",1/3 RIVER PARADE BARWON HEADS 3227,,"3",,RIVER,PARADE,,BARWON HEADS,"327","3227","20257560000",House,GPO,1,805940.240149053,5758856.01270948
"131212","1875965","205637701","205637700",44 GLENORA PLACE BATESFORD 3213,,"44",,GLENORA,PLACE,,BATESFORD,"324","3213","20203170000",House,GPO,1,785125.000390384,5779221.00032463
"110028","201136","53793113","45193159",270 BEEAC-DREEITE ROAD BEEAC 3251,,"270",,BEEAC-DREEITE,ROAD,,BEEAC,"314","3251","20134631000",House,GPO,1,725128.570395076,5770615.58032389
"104179","201142","53486218","5493348",185 OLD COLAC ROAD BEECH FOREST 3237,,"185",,OLD COLAC,ROAD,,BEECH FOREST,"314","3237","20135430000",House,GPO,1,723224.5278442,5722463.03299682
"659049","102084","204234843","204234842",179 SEPARATION STREET BELL PARK 3215,,"179",,SEPARATION,STREET,,BELL PARK,"327","3215","20237750000",House,GPO,1,792412.686525903,5776726.76243102
"131466","104627","205560443","205560442",105 CREAMERY ROAD BELL POST HILL 3215,,"105",,CREAMERY,ROAD,,BELL POST HILL,"327","3215","20238220000",House,GPO,1,790965.493568228,5778154.47275817
"701894","717962","53067904","41011435",1-79 MCADAMS LANE BELLARINE 3223,,"1",,MCADAMS,LANE,,BELLARINE,"327","3223","20262770000",House,GPO,1,815262.626385559,5772490.94867311
"138745","273833","53296935","52554453",285 NORTONS ROAD BELLBRAE 3228,,"285",,NORTONS,ROAD,,BELLBRAE,"365","3228","20563270000",House,GPO,1,780734.109432756,5754092.16987206
"121332","2344933","151542276","151542275",325 POINT ADDIS ROAD BELLS BEACH 3228,,"325",,POINT ADDIS,ROAD,,BELLS BEACH,"380","3228","20563412000",House,GPO,1,784012.801472401,5745294.91705306
"621803","106885","212178319","212178318",13 WAURN PARK COURT BELMONT 3216,,"13",,WAURN PARK,COURT,,BELMONT,"327","3216","20251810000",House,GPO,1,791107.034671846,5767244.45120654
"121450","265953","53056287","41112476",1515 DEANS MARSH-LORNE ROAD BENWERRIN 3235,,"1515",,DEANS MARSH-LORNE,ROAD,,BENWERRIN,"365","3235","20562772000",House,GPO,1,756965.263575553,5735499.23351166
"157787","532907","53985579","5196611",650 COLLINS LANE BERRYBANK 3323,,"650",,COLLINS,LANE,,BERRYBANK,"315","3323","20137080000",House,GPO,1,715813.514895751,5791570.30733164
"123633","274393","53059318","41114328",1300 GREAT OCEAN ROAD BIG HILL (LORNE) 3231,,"1300",,GREAT OCEAN,ROAD,,BIG HILL (LORNE),"365","3231","20563130000",House,GPO,1,762589.959717404,5734822.02641933
"110011","499","53055135","41116544",195 AYREYS RESERVE ROAD BIRREGURRA 3242,,"195",,AYREYS RESERVE,ROAD,,BIRREGURRA,"314","3242","20134310000",House,GPO,1,741261.36983365,5755450.82994093
"122664","265951","53056293","41112483",1040 BAMBRA-BOONAH ROAD BOONAH 3235,,"1040",,BAMBRA-BOONAH,ROAD,,BOONAH,"365","3235","20563392000",House,GPO,1,757396.371549899,5743517.54093999
"632840","99441","205667977","205667976",80-84 TUCKER STREET BREAKWATER 3219,,"80",,TUCKER,STREET,,BREAKWATER,"327","3219","20246332000",House,GPO,1,794863.957234695,5768537.98224186
"616927","117825","213766763","213766761",79 HORWOOD DRIVE BREAMLEA 3227,,"79",,HORWOOD,DRIVE,,BREAMLEA,"327","3227","20260210000",House,GPO,1,796231.806327112,5755871.48907338
"121309","2038851","53064255","41097696",170 MT POLLOCK ROAD BUCKLEY 3240,,"170",,MT POLLOCK,ROAD,,BUCKLEY,"365","3240","20563301000",House,GPO,1,770221.548806573,5770206.1556419
"108099","201265","53485217","5171003",595 OLD IRREWILLIPE ROAD BUNGADOR 3260,,"595",,OLD IRREWILLIPE,ROAD,,BUNGADOR,"314","3260","20134740000",House,GPO,1,704430.397960312,5747099.0700106
"31150","202615","53486364","5494581",5 OTWAY PARK CAPE OTWAY 3233,,"5",,OTWAY,PARK,,CAPE OTWAY,"314","3233","20135980000",House,GPO,1,719612.269498907,5698399.05656896
"103144","205482","53795365","5493671",1160 LAVERS HILL-COBDEN ROAD CARLISLE RIVER 3239,,"1160",,LAVERS HILL-COBDEN,ROAD,,CARLISLE RIVER,"314","3239","20135510000",House,GPO,1,702354.995412254,5720978.9441875
"108100","201266","53485224","5160420",135 CLIFTON ROAD CARPENDEIT 3260,,"135",,CLIFTON,ROAD,,CARPENDEIT,"314","3260","20134200000",House,GPO,1,699544.217094919,5750507.64155847
"130633","13615","220711102","220711101",21-23 HEAL STREET CERES 3221,,"21",,HEAL,STREET,,CERES,"327","3221","20256013000",House,GPO,1,786837.911755626,5770051.74496136
"103072","201392","53794616","45516354",1385 GELLIBRAND RIVER ROAD CHAPPLE VALE 3239,,"1385",,GELLIBRAND RIVER,ROAD,,CHAPPLE VALE,"314","3239","20136022000",House,GPO,1,699857.489795989,5723567.6700946
"616630","710102","218138966","218138965",14 JENDES LANE CHARLEMONT 3217,,"14",,JENDES,LANE,,CHARLEMONT,"327","3217","20256161000",House,GPO,1,795942.677649817,5767061.60370608
"701867","108393","204186495","204186494",21-29 RESERVOIR ROAD CLIFTON SPRINGS 3222,,"21",,RESERVOIR,ROAD,,CLIFTON SPRINGS,"327","3222","20263930000",House,GPO,1,814279.220198526,5771561.54124912
"91685","532566","53980515","5171158",17 MCCANNS ROAD COBDEN 3266,,"17",,MCCANNS,ROAD,,COBDEN,"315","3266","20138402000",House,GPO,1,689286.356448828,5750841.02848915
"112656","201108","53480876","5488452",43 BILSON STREET COLAC 3250,,"43",,BILSON,STREET,,COLAC,"314","3250","20133460000",House,GPO,1,724494.933734693,5754206.78167036
"112666","201915","53484898","5490391",2 FOREST STREET COLAC EAST 3250,,"2",,FOREST,STREET,,COLAC EAST,"314","3250","20133571000",House,GPO,1,727833.62550071,5753687.10144741
"112363","204049","54690013","53022765",75 ROSSMOYNE ROAD COLAC WEST 3250,,"75",,ROSSMOYNE,ROAD,,COLAC WEST,"314","3250","20134122000",House,GPO,1,722710.172320715,5754556.58866504
"616587","112589","215632799","215632797",2A STACEYS ROAD CONNEWARRE 3227,,"2",A,STACEYS,ROAD,,CONNEWARRE,"327","3227","20256643000",House,GPO,1,800081.630743945,5762252.36246462
"90300","531719","53686823","52623102",450 WAARRE ROAD COORIEMUNGLE 3268,,"450",,WAARRE,ROAD,,COORIEMUNGLE,"315","3268","20139060000",House,GPO,1,679164.335521604,5729218.83984243
"110035","201158","53794070","5177965",740 CORANGAMITE LAKE ROAD CORAGULAC 3249,,"740",,CORANGAMITE LAKE,ROAD,,CORAGULAC,"314","3249","20134671000",House,GPO,1,720473.247871545,5761276.77685884
"164273","2861","53390295","52395971",85 MAIN STREET CORINDHAP 3352,,"85",,MAIN,STREET,,CORINDHAP,"324","3352","20203642000",House,GPO,1,740833.016489081,5804813.58858105
"679402","111193","212192200","212192199",5 HEALES ROAD CORIO 3214,,"5",,HEALES,ROAD,,CORIO,"327","3214","20243672000",House,GPO,1,797511.967722627,5782974.49723803
"110016","201117","53486037","5177118",350 CORANGAMITE LAKE ROAD COROROOKE 3254,,"350",,CORANGAMITE LAKE,ROAD,,COROROOKE,"314","3254","20134721000",House,GPO,1,720985.31978194,5757507.61006752
"109479","201865","128344780","128344778",2 MCGRATHS ROAD CORUNNUN 3249,,"2",,MCGRATHS,ROAD,,CORUNNUN,"314","3249","20134690000",House,GPO,1,715403.272329815,5757761.97799245
"90591","1032290","53979800","45182689",1629 COBDEN-PORT CAMPBELL ROAD COWLEYS CREEK 3268,,"1629",,COBDEN-PORT CAMPBELL,ROAD,,COWLEYS CREEK,"315","3268","20139071000",House,GPO,1,676778.332982236,5733379.00772757
"110082","202221","53793457","5176671",100 NELSONS ROAD CRESSY 3322,,"100",,NELSONS,ROAD,,CRESSY,"314","3322","20134170000",House,GPO,1,730243.293024764,5786544.1640935
"110164","204687","128253804","128253801",3815 CORANGAMITE LAKE ROAD CUNDARE 3251,,"3815",,CORANGAMITE LAKE,ROAD,,CUNDARE,"314","3251","20134500000",House,GPO,1,727982.266499091,5775816.66569381
"110270","208361","53487693","45193084",3185 CORANGAMITE LAKE ROAD CUNDARE NORTH 3251,,"3185",,CORANGAMITE LAKE,ROAD,,CUNDARE NORTH,"314","3251","20134440000",House,GPO,1,722213.933939814,5777572.85190138
