"person","activity","start_time","xcoord","ycoord"
"1","home","0000",777234.81615,5743780.01092
"1","other","0453",778154.87981,5743919.35957
"1","work","0755",778210.63486,5744138.97464
"1","beach","1531",776580.38162,5741915.32936
"1","home","1728",777234.81615,5743780.01092
"2","home","0000",772617.82636,5785458.8966
"2","other","0419",733346.70278,5756267.50925
"2","home","0749",772617.82636,5785458.8966
"2","shops","0938",777902.25512,5762634.6724
"2","home","1119",772617.82636,5785458.8966
"2","work","1247",759223.27599,5730566.26203
"2","home","2010",772617.82636,5785458.8966
"3","home","0000",776568.93523,5743689.84358
"3","shops","0931",770351.40111,5738001.92605
"3","work","1027",778210.63486,5744138.97464
"3","home","1943",776568.93523,5743689.84358
"4","home","0000",790378.41742,5753356.36182
"4","other","0417",789863.66729,5753170.47836
"4","home","0704",790378.41742,5753356.36182
"4","shops","0804",789974.17245,5752810.54643
"4","home","1005",790378.41742,5753356.36182
"4","shops","1322",789974.17245,5752810.54643
"4","work","1618",790098.62271,5754759.19639
"4","home","2359",790378.41742,5753356.36182
"5","home","0000",781928.52067,5766752.59938
"5","other","0638",790829.71368,5755284.52525
"5","beach","0926",759551.54671,5730602.07326
"5","home","1140",781928.52067,5766752.59938
"5","other","1430",793534.67335,5769831.90665
"5","shops","1627",790357.10312,5752184.65303
"5","home","1935",781928.52067,5766752.59938
"6","home","0000",779214.53802,5765333.38073
"6","work","0834",793249.38427,5770567.6814
"6","shops","1726",777902.25512,5762634.6724
"6","other","1939",777888.65052,5762548.96247
"6","home","2224",779214.53802,5765333.38073
"7","home","0000",785244.23233,5752161.03719
"7","shops","1039",789902.15203,5752276.48654
"7","work","1216",790484.60538,5754857.18225
"7","home","2046",785244.23233,5752161.03719
"8","home","0000",759054.10988,5751918.89673
"8","work","0527",760006.41615,5728788.01073
"8","shops","1252",789902.15203,5752276.48654
"8","home","1430",759054.10988,5751918.89673
"8","other","1901",778154.87981,5743919.35957
"8","home","2020",759054.10988,5751918.89673
"9","home","0000",759871.83431,5731726.58987
"9","other","0916",759074.12513,5730215.34091
"9","home","1152",759871.83431,5731726.58987
"9","beach","1536",759551.54671,5730602.07326
"9","work","1705",759175.87554,5731742.96741
"9","home","2359",759871.83431,5731726.58987
"10","home","0000",777234.81615,5743780.01092
"10","work","0951",778463.2759,5744455.4553
"10","shops","1645",778279.66613,5743500.15352
"10","home","1807",777234.81615,5743780.01092
"11","home","0000",769999.78791,5739097.72615
"11","other","1151",771374.44073,5738835.66619
"11","home","1226",769999.78791,5739097.72615
"11","beach","1405",778406.90316,5743587.79637
"11","home","1654",769999.78791,5739097.72615
"11","shops","1818",770351.40111,5738001.92605
"11","home","2100",769999.78791,5739097.72615
"12","home","0000",777034.92958,5743303.37519
"12","other","1129",778546.67853,5744446.73313
"12","home","1315",777034.92958,5743303.37519
"12","shops","1547",778433.82508,5744429.17115
"12","home","1755",777034.92958,5743303.37519
"13","home","0000",789662.47098,5752203.25845
"13","work","0813",789848.05453,5752795.44381
"13","home","1628",789662.47098,5752203.25845
"14","home","0000",777528.01183,5744592.20828
"14","work","1738",777196.72455,5744398.58775
"14","home","2359",777528.01183,5744592.20828
"15","home","0000",779857.10624,5756009.28787
"15","shops","1409",790357.10312,5752184.65303
"15","work","1652",786334.34808,5764005.76275
"15","home","2359",779857.10624,5756009.28787
"16","home","0000",777908.65123,5743500.16013
"16","work","0001",777704.05806,5743980.73808
"16","home","0921",777908.65123,5743500.16013
"16","beach","1339",778406.90316,5743587.79637
"16","other","1502",778546.67853,5744446.73313
"16","home","1746",777908.65123,5743500.16013
"16","other","2021",778154.87981,5743919.35957
"16","home","2215",777908.65123,5743500.16013
"17","home","0000",786977.29865,5775479.76656
"17","shops","1206",790505.64718,5752116.69154
"17","home","1731",786977.29865,5775479.76656
"18","home","0000",796078.76693,5755831.22383
"18","work","0821",792919.68545,5754526.38383
"18","home","1653",796078.76693,5755831.22383
"19","home","0000",778734.79042,5745076.17734
"19","work","0745",778791.70915,5745372.55639
"19","shops","1447",778433.82508,5744429.17115
"19","beach","1611",778237.06886,5743964.79164
"19","home","1802",778734.79042,5745076.17734
"20","home","0000",777837.33273,5743458.02044
"20","shops","1241",778433.82508,5744429.17115
"20","beach","1542",778237.06886,5743964.79164
"20","work","1749",778649.17232,5743860.56825
"20","home","2359",777837.33273,5743458.02044
"21","home","0000",762070.01485,5763709.90506
"21","work","0817",761856.89786,5763333.34179
"21","home","1651",762070.01485,5763709.90506
"22","home","0000",759897.29075,5753954.22426
"22","other","0446",778154.87981,5743919.35957
"22","home","0614",759897.29075,5753954.22426
"22","shops","1423",743497.21054,5753100.09307
"22","home","1933",759897.29075,5753954.22426
"23","home","0000",776307.30846,5743529.8569
"23","work","0544",778463.2759,5744455.4553
"23","beach","1251",778237.06886,5743964.79164
"23","shops","1431",778482.57737,5744462.75843
"23","home","1755",776307.30846,5743529.8569
"24","home","0000",761099.76466,5763000.49956
"24","shops","0805",761647.31617,5762952.48569
"24","work","1113",761289.50657,5762130.29619
"24","home","1840",761099.76466,5763000.49956
"25","home","0000",792399.95013,5754815.32446
"25","work","0853",792919.68545,5754526.38383
"25","home","1711",792399.95013,5754815.32446
"25","shops","1917",790505.64718,5752116.69154
"25","home","2108",792399.95013,5754815.32446
"26","home","0000",767371.82662,5738738.05216
"26","work","0932",771120.82582,5738818.00056
"26","home","1740",767371.82662,5738738.05216
"26","shops","2134",778279.66613,5743500.15352
"26","home","2217",767371.82662,5738738.05216
