Resident,
home, 90, 90, 85, 75, 30, 20, 15, 10, 25, 50, 80, 85
work,  5,  5, 10, 15, 50, 60, 60, 50, 40, 30, 10, 10
beach, 0,  0,  0,  0,  5,  5, 10, 15,  5,  0,  0,  0
shops, 0,  0,  0,  5, 10, 10, 10, 20, 25, 15,  5,  0
other, 5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5

PartTime Resident,
home, 95, 95, 90, 75, 35, 20, 15, 10, 35, 60, 80, 85
work,  0,  0,  5, 10, 10, 20, 20, 20, 10, 10, 10,  0
beach, 0,  0,  0,  5, 25, 25, 30, 20,  5,  0,  0,  0
shops, 0,  0,  0,  5, 20, 20, 25, 30, 25, 20,  5, 10
other, 5,  5,  5,  5, 10, 15, 10, 20, 25, 10,  5,  5

Regular Visitor,
home,  90, 95, 95, 85, 70, 65, 30, 25, 30, 40, 70, 90
beach,  0,  0,  0, 10, 10, 10, 30, 40, 30, 10,  5,  0
shops,  0,  0,  0,  0, 10, 15, 30, 25, 25, 40, 20,  5
other, 10,  5,  5,  5, 10, 10, 10, 10, 15, 10,  5,  5

Overnight Visitor,
home,  95, 95, 80, 50, 10,  0,  0, 10, 20, 40, 60,100
beach,  0,  0, 15, 10, 20, 60, 70, 50, 20, 10,  5,  0
shops,  5,  5,  0, 10, 20, 30, 20, 20, 40, 40, 20,  0
other,  0,  0,  5, 30, 50, 10, 10, 20, 20, 10, 15,  0

Daytime Visitor,
home, 100,100, 90, 20, 10,  0,  0, 10, 20, 40, 60,100
beach,  0,  0,  5, 10, 20, 40, 50, 40, 20, 10,  5,  0
shops,  0,  0,  0, 10, 20, 30, 20, 20, 40, 40, 20,  0
other,  0,  0,  5, 60, 50, 30, 30, 30, 20, 10, 15,  0
